site,title,company,job_url,location,date_posted,search_query,target_region,visa_sponsorship,visa_type
indeed,Physical Security Specialist II,Pinterest,https://sg.indeed.com/viewjob?jk=b4d9b88d697f08d7,"Singapore, S00, SG",2026-07-09,Business Intelligence,Singapore,Y,Sponsorship Mentioned
indeed,Account Development Rep,KONG,https://sg.indeed.com/viewjob?jk=d3cde8ae38003bc8,"S00, SG",2026-07-08,Business Intelligence,Singapore,N,Not Mentioned
indeed,#EG Data Analyst,DataSpark Pte Ltd,https://sg.indeed.com/viewjob?jk=e0563e1349383090,"Singapore, S00, SG",2026-07-08,Business Intelligence,Singapore,N,Not Mentioned
linkedin,Data Analyst - Marketplace Product,Shopee,https://www.linkedin.com/jobs/view/4326510611,"Singapore, Singapore",2026-07-06,Business Intelligence,Singapore,N,Not Mentioned
linkedin,Junior Data Analyst (6-12 Months),Shangri-La Group,https://www.linkedin.com/jobs/view/4415326014,"Singapore, Singapore",2026-06-26,Business Intelligence,Singapore,N,Not Mentioned
linkedin,Business Intelligence Analyst (AI & Data Analytics),Shopee,https://www.linkedin.com/jobs/view/4432236139,"Singapore, Singapore",2026-06-23,Business Intelligence,Singapore,N,Not Mentioned
linkedin,Data Analyst (Finance),Sea,https://www.linkedin.com/jobs/view/4432238200,"Singapore, Singapore",2026-06-23,Business Intelligence,Singapore,N,Not Mentioned
linkedin,Executive (Analytics),Resorts World Sentosa,https://www.linkedin.com/jobs/view/4430390791,"Singapore, Singapore",2026-06-22,Business Intelligence,Singapore,N,Not Mentioned
indeed,Commercial Finance Analyst,Coca-Cola HBC,https://gr.indeed.com/viewjob?jk=8990336854155eee,"Αθήνα, GRI, GR",2026-07-08,Data Analyst,Greece,N,Not Mentioned
indeed,Senior Energy Supply Analyst,Volton Ελληνική Ενεργειακή Α.Ε.,https://gr.indeed.com/viewjob?jk=2369d6bc31ed76b0,"Μεταμόρφωση, GRI, GR",2026-07-08,Data Analyst,Greece,N,Not Mentioned
indeed,Senior Finance Analyst,Kenvue,https://gr.indeed.com/viewjob?jk=69fbb7eaddb5f72d,"Μάνδρα, GRI, GR",2026-07-08,Data Analyst,Greece,N,Not Mentioned
indeed,Senior Business System Analyst,FxPro Group,https://gr.indeed.com/viewjob?jk=215e9c09fde0dad4,"Κύπρος, GR",2026-07-07,Data Analyst,Greece,N,Not Mentioned
indeed,IT Service Management Analyst,Stephenson Harwood,https://gr.indeed.com/viewjob?jk=e3510432adb772f4,"Αθήνα, GRI, GR",2026-07-07,Data Analyst,Greece,N,Not Mentioned
linkedin,Data Analyst,Scorpios,https://www.linkedin.com/jobs/view/4408763207,"Athens, Attiki, Greece",2026-07-04,Data Analyst,Greece,N,Not Mentioned
linkedin,Data Analyst,Stoiximan,https://www.linkedin.com/jobs/view/4434440135,"Thessaloniki, Central Macedonia, Greece",2026-06-29,Data Analyst,Greece,N,Not Mentioned
linkedin,Data Analyst,Stoiximan,https://www.linkedin.com/jobs/view/4434429763,"Athens, Attiki, Greece",2026-06-29,Data Analyst,Greece,N,Not Mentioned
linkedin,Data Analyst,Kaizen Gaming,https://www.linkedin.com/jobs/view/4437067033,"Athens, Attiki, Greece",,Data Analyst,Greece,N,Not Mentioned
linkedin,Technical Data Analyst - Data Warehouse Services,Aylo,https://www.linkedin.com/jobs/view/4421879148,,,Data Analyst,Greece,N,Not Mentioned
indeed,Senior Full Stack Engineer (Node.js/Angular & AWS Serverless),Altamira for freelancers,https://gr.indeed.com/viewjob?jk=bf65b1784d7523df,"Απομακρυσμένη Εργασία, GR",2026-07-08,Analytics Engineer,Greece,N,Not Mentioned
indeed,Data Engineer,Ferryscanner,https://gr.indeed.com/viewjob?jk=044c5f6b8d63b9ef,"Αθήνα, GRI, GR",2026-07-07,Analytics Engineer,Greece,N,Not Mentioned
indeed,Senior Quality Assurance Engineer,Qualco,https://gr.indeed.com/viewjob?jk=4fc4eb92757b98eb,"Αθήνα, GRI, GR",2026-07-07,Analytics Engineer,Greece,N,Not Mentioned
indeed,"Senior Software Engineer (Backend, PHP)",Qualco,https://gr.indeed.com/viewjob?jk=f1e786ee939ff18a,"Αθήνα, GRI, GR",2026-07-07,Analytics Engineer,Greece,N,Not Mentioned
indeed,Analytics Engineer,Up Hellas,https://gr.indeed.com/viewjob?jk=b93a1b68259e9dd1,"Αθήνα, GRI, GR",2026-07-07,Analytics Engineer,Greece,N,Not Mentioned
linkedin,Analytics Engineer,Novibet,https://www.linkedin.com/jobs/view/4435411631,"Athens, Attiki, Greece",2026-07-03,Analytics Engineer,Greece,N,Not Mentioned
linkedin,BI & Analytics Engineer,Allwyn Hellas,https://www.linkedin.com/jobs/view/4430416135,"Athens, Attiki, Greece",2026-06-18,Analytics Engineer,Greece,N,Not Mentioned
linkedin,BΙ & Data Engineer,Vimachem - IIoT Pharma 4.0 AI Platform,https://www.linkedin.com/jobs/view/4429243428,,2026-06-16,Analytics Engineer,Greece,N,Not Mentioned
linkedin,Analytics Engineer,Yodeck,https://www.linkedin.com/jobs/view/4409890001,"Athens, Attiki, Greece",2026-05-03,Analytics Engineer,Greece,N,Not Mentioned
linkedin,Analytics Engineer,Up Hellas,https://www.linkedin.com/jobs/view/4437012548,"Athens, Attiki, Greece",,Analytics Engineer,Greece,N,Not Mentioned
indeed,Clinical Project Manager (Sponsor Dedicated) - Global Study Leadership,IQVIA,https://gr.indeed.com/viewjob?jk=7f0c213924782405,"Αθήνα, GRI, GR",2026-07-08,Business Intelligence,Greece,N,Not Mentioned
indeed,Personal Executive Assistant (Part-Time),Orca AI,https://gr.indeed.com/viewjob?jk=f23c9ac49ffd3bfa,"Αθήνα, GRI, GR",2026-07-08,Business Intelligence,Greece,N,Not Mentioned
indeed,Tech Sales Graduate,SIGNAL,https://gr.indeed.com/viewjob?jk=424cead331aa7b27,"Αθήνα, GRI, GR",2026-07-08,Business Intelligence,Greece,N,Not Mentioned
indeed,(Senior) Consultant - Evidence Synthesis (Global Health Economics) - Greece (hybrid/home-based),IQVIA,https://gr.indeed.com/viewjob?jk=14e598e265002aca,"Αθήνα, GRI, GR",2026-07-08,Business Intelligence,Greece,N,Not Mentioned
indeed,Risk & Credit Specialist,BMW Group,https://gr.indeed.com/viewjob?jk=65748a580610a5e4,"Αθήνα, GRI, GR",2026-07-07,Business Intelligence,Greece,N,Not Mentioned
linkedin,Database & Business Intelligence (BI) Engineer,Adecco,https://www.linkedin.com/jobs/view/4437722793,"Khalándrion, Attiki, Greece",2026-07-07,Business Intelligence,Greece,N,Not Mentioned
linkedin,Lead Business Intelligence (BI) Engineer,Netcompany,https://www.linkedin.com/jobs/view/4345826821,"Athens, Attiki, Greece",2026-07-05,Business Intelligence,Greece,N,Not Mentioned
linkedin,Αναλυτής Business Intelligence,wherewework Jobs,https://www.linkedin.com/jobs/view/4436001073,"Patras, Western Greece, Greece",2026-07-04,Business Intelligence,Greece,N,Not Mentioned
linkedin,Business Intelligence Engineer,PeopleCert,https://www.linkedin.com/jobs/view/4430204903,"Athens, Attiki, Greece",2026-06-25,Business Intelligence,Greece,N,Not Mentioned
linkedin,BΙ & Data Engineer,Vimachem - IIoT Pharma 4.0 AI Platform,https://www.linkedin.com/jobs/view/4429243428,,2026-06-16,Business Intelligence,Greece,N,Not Mentioned
indeed,Reliability Analyst,HCLTech,https://nl.indeed.com/viewjob?jk=f6f5fce2180f0304,"Barendrecht, ZH, NL",2026-07-08,Data Analyst,Netherlands,N,Not Mentioned
indeed,Data Analyst II - Flights,Booking.com,https://nl.indeed.com/viewjob?jk=0fa44c2d563785e8,"Amsterdam Centrum, NH, NL",2026-07-08,Data Analyst,Netherlands,Y,Sponsorship Mentioned
indeed,Senior Platform Engineer,Just Eat Takeaway.com,https://nl.indeed.com/viewjob?jk=19137d8500c119c5,"Amsterdam, NH, NL",2026-07-08,Data Analyst,Netherlands,N,Not Mentioned
indeed,Business Analyst - Wilbur Maverick,Schiphol,https://nl.indeed.com/viewjob?jk=cf2bc8d2a4b9d252,"Schiphol, NH, NL",2026-07-08,Data Analyst,Netherlands,N,Not Mentioned
